slang, formal
sdh, sudah
jd, jadi
jg, juga
sy, saya
gw, saya
gue, saya
gua, saya
jgn, jangan
utk, untuk
hutang, utang
yg, yang
ikn, ibu kota negara
ibukota, ibu kota
org, orang
nggak, tidak
tdk, tidak
dgn, dengan
dg, dengan
kaltim, kalimantan timur
